user_id,month,plan,monthly_price,payment_status,amount_paid,is_active
1,1,plus,20.0,paid,20.0,True
1,2,plus,20.0,paid,20.0,True
1,3,plus,20.0,paid,20.0,True
1,4,plus,20.0,paid,20.0,True
1,5,plus,20.0,paid,20.0,True
1,6,plus,20.0,paid,20.0,True
1,7,plus,20.0,paid,20.0,True
1,8,plus,20.0,paid,20.0,True
1,9,plus,20.0,paid,20.0,True
1,10,plus,20.0,failed,0.0,True
1,11,plus,20.0,paid,20.0,True
1,12,plus,20.0,paid,20.0,True
2,1,basic,10.0,paid,10.0,True
2,2,basic,10.0,paid,10.0,True
2,3,basic,10.0,paid,10.0,True
2,4,basic,10.0,paid,10.0,True
2,5,basic,10.0,paid,10.0,True
2,6,basic,10.0,paid,10.0,True
2,7,basic,10.0,paid,10.0,True
2,8,basic,10.0,paid,10.0,True
2,9,basic,10.0,paid,10.0,True
2,10,basic,10.0,paid,10.0,True
2,11,basic,10.0,paid,10.0,True
2,12,basic,10.0,failed,0.0,False
3,1,premium,40.0,paid,40.0,True
3,2,premium,40.0,paid,40.0,True
3,3,premium,40.0,paid,40.0,True
3,4,premium,40.0,paid,40.0,True
3,5,premium,40.0,paid,40.0,True
3,6,premium,40.0,paid,40.0,True
3,7,premium,40.0,paid,40.0,True
3,8,premium,40.0,paid,40.0,True
3,9,premium,40.0,paid,40.0,True
3,10,premium,40.0,paid,40.0,True
3,11,premium,40.0,paid,40.0,True
3,12,premium,40.0,paid,40.0,True
4,1,plus,20.0,failed,0.0,True
4,2,plus,20.0,paid,20.0,True
4,3,plus,20.0,paid,20.0,True
4,4,plus,20.0,paid,20.0,True
4,5,plus,20.0,paid,20.0,True
4,6,plus,20.0,paid,20.0,True
4,7,plus,20.0,paid,20.0,True
4,8,plus,20.0,paid,20.0,True
4,9,plus,20.0,paid,20.0,True
4,10,plus,20.0,paid,20.0,True
4,11,plus,20.0,paid,20.0,True
4,12,plus,20.0,paid,20.0,True
5,1,basic,10.0,paid,10.0,True
5,2,basic,10.0,paid,10.0,True
5,3,basic,10.0,paid,10.0,True
5,4,basic,10.0,paid,10.0,True
5,5,basic,10.0,paid,10.0,True
5,6,basic,10.0,failed,0.0,False
6,1,premium,40.0,paid,40.0,True
6,2,premium,40.0,paid,40.0,True
6,3,premium,40.0,paid,40.0,True
6,4,premium,40.0,paid,40.0,True
6,5,premium,40.0,paid,40.0,True
6,6,premium,40.0,paid,40.0,True
6,7,premium,40.0,paid,40.0,True
6,8,premium,40.0,paid,40.0,True
6,9,premium,40.0,paid,40.0,True
6,10,premium,40.0,paid,40.0,True
6,11,premium,40.0,paid,40.0,True
6,12,premium,40.0,paid,40.0,True
7,1,plus,20.0,paid,20.0,True
7,2,plus,20.0,paid,20.0,True
7,3,plus,20.0,paid,20.0,True
7,4,plus,20.0,paid,20.0,True
7,5,plus,20.0,paid,20.0,True
7,6,plus,20.0,paid,20.0,True
7,7,plus,20.0,paid,20.0,True
7,8,plus,20.0,paid,20.0,True
7,9,plus,20.0,paid,20.0,True
7,10,plus,20.0,paid,20.0,True
7,11,plus,20.0,paid,20.0,True
7,12,plus,20.0,paid,20.0,True
8,1,plus,20.0,paid,20.0,True
8,2,plus,20.0,paid,20.0,True
8,3,plus,20.0,paid,20.0,True
8,4,plus,20.0,failed,0.0,False
9,1,basic,10.0,paid,10.0,True
9,2,basic,10.0,paid,10.0,True
9,3,basic,10.0,failed,0.0,False
10,1,basic,10.0,failed,0.0,True
10,2,basic,10.0,paid,10.0,True
10,3,basic,10.0,failed,0.0,False
11,1,basic,10.0,paid,10.0,True
11,2,basic,10.0,paid,10.0,True
11,3,basic,10.0,paid,10.0,True
11,4,basic,10.0,paid,10.0,True
11,5,basic,10.0,paid,10.0,True
11,6,basic,10.0,paid,10.0,True
11,7,basic,10.0,paid,10.0,True
11,8,basic,10.0,paid,10.0,True
11,9,basic,10.0,paid,10.0,True
11,10,basic,10.0,paid,10.0,True
11,11,basic,10.0,paid,10.0,True
11,12,basic,10.0,paid,10.0,True
12,1,premium,40.0,paid,40.0,True
12,2,premium,40.0,paid,40.0,True
12,3,premium,40.0,paid,40.0,True
12,4,premium,40.0,paid,40.0,True
12,5,premium,40.0,paid,40.0,True
12,6,premium,40.0,paid,40.0,True
12,7,premium,40.0,paid,40.0,True
12,8,premium,40.0,paid,40.0,True
12,9,premium,40.0,paid,40.0,True
12,10,premium,40.0,paid,40.0,True
12,11,premium,40.0,failed,0.0,True
12,12,premium,40.0,failed,0.0,False
13,1,plus,20.0,paid,20.0,True
13,2,plus,20.0,paid,20.0,True
13,3,plus,20.0,paid,20.0,True
13,4,plus,20.0,paid,20.0,True
13,5,plus,20.0,paid,20.0,True
13,6,plus,20.0,paid,20.0,True
13,7,plus,20.0,paid,20.0,True
13,8,plus,20.0,failed,0.0,True
13,9,plus,20.0,paid,20.0,True
13,10,plus,20.0,paid,20.0,True
13,11,plus,20.0,paid,20.0,True
13,12,plus,20.0,paid,20.0,True
14,1,premium,40.0,paid,40.0,True
14,2,premium,40.0,paid,40.0,True
14,3,premium,40.0,paid,40.0,True
14,4,premium,40.0,paid,40.0,True
14,5,premium,40.0,paid,40.0,True
14,6,premium,40.0,paid,40.0,True
14,7,premium,40.0,paid,40.0,True
14,8,premium,40.0,paid,40.0,True
14,9,premium,40.0,paid,40.0,True
14,10,premium,40.0,paid,40.0,True
14,11,premium,40.0,paid,40.0,True
14,12,premium,40.0,paid,40.0,True
15,1,basic,10.0,paid,10.0,True
15,2,basic,10.0,paid,10.0,True
15,3,basic,10.0,paid,10.0,True
15,4,basic,10.0,paid,10.0,True
15,5,basic,10.0,failed,0.0,True
15,6,basic,10.0,paid,10.0,True
15,7,basic,10.0,paid,10.0,True
15,8,basic,10.0,paid,10.0,True
15,9,basic,10.0,paid,10.0,True
15,10,basic,10.0,paid,10.0,True
15,11,basic,10.0,paid,10.0,True
15,12,basic,10.0,paid,10.0,True
16,1,basic,10.0,paid,10.0,True
16,2,basic,10.0,paid,10.0,True
16,3,basic,10.0,paid,10.0,True
16,4,basic,10.0,paid,10.0,True
16,5,basic,10.0,paid,10.0,True
16,6,basic,10.0,paid,10.0,True
16,7,basic,10.0,paid,10.0,True
16,8,basic,10.0,paid,10.0,True
16,9,basic,10.0,paid,10.0,True
16,10,basic,10.0,paid,10.0,True
16,11,basic,10.0,paid,10.0,True
16,12,basic,10.0,paid,10.0,True
17,1,plus,20.0,paid,20.0,True
17,2,plus,20.0,paid,20.0,True
17,3,plus,20.0,paid,20.0,True
17,4,plus,20.0,paid,20.0,True
17,5,plus,20.0,paid,20.0,True
17,6,plus,20.0,paid,20.0,True
17,7,plus,20.0,paid,20.0,True
17,8,plus,20.0,paid,20.0,True
17,9,plus,20.0,failed,0.0,False
18,1,basic,10.0,failed,0.0,True
18,2,basic,10.0,paid,10.0,True
18,3,basic,10.0,failed,0.0,False
19,1,premium,40.0,paid,40.0,True
19,2,premium,40.0,paid,40.0,True
19,3,premium,40.0,failed,0.0,True
19,4,premium,40.0,paid,40.0,True
19,5,premium,40.0,paid,40.0,True
19,6,premium,40.0,paid,40.0,True
19,7,premium,40.0,paid,40.0,True
19,8,premium,40.0,paid,40.0,True
19,9,premium,40.0,paid,40.0,True
19,10,premium,40.0,paid,40.0,True
19,11,premium,40.0,paid,40.0,True
19,12,premium,40.0,paid,40.0,True
20,1,plus,20.0,paid,20.0,True
20,2,plus,20.0,paid,20.0,True
20,3,plus,20.0,paid,20.0,True
20,4,plus,20.0,paid,20.0,True
20,5,plus,20.0,paid,20.0,True
20,6,plus,20.0,paid,20.0,True
20,7,plus,20.0,paid,20.0,True
20,8,plus,20.0,failed,0.0,True
20,9,plus,20.0,paid,20.0,True
